"battery_id","battery_formula","working_ion","formula_charge","formula_discharge","max_delta_volume","average_voltage","gravimetric_capacity","volumetric_capacity","gravimetric_energy","volumetric_energy","atomic_fraction_charge","atomic_fraction_discharge","stability_charge","stability_discharge","steps","max_voltage_step"
"mp-30_Al","Al0-2Cu","Al","Cu","Al2Cu",3.04339916609943,0.089033115,1368.4805523448,5562.79012982017,121.840086392178,495.272533349145,0,0.666666666666667,0,0,1,0
"mp-1022721_Al","Al1-3Cu","Al","AlCu","Al3Cu",1.24365276203766,-0.0215863449999999,1112.93654596068,4418.97975345802,-24.0242322442155,-95.3896215061595,0.5,0.75,0.0740612380000014,0.0962458349999999,1,0
"mp-8637_Al","Al0-5Mo","Al","Mo","Al5Mo",4.76257429266781,0.122756845,1741.50415781048,7175.70174740903,213.781555967198,880.86650717292,0,0.833333333333333,0.411460099999999,0.0452119541666649,1,0
"mp-129_Al","Al0-12Mo","Al","Mo","Al12Mo",12.7238930646061,0.0431214325000001,2298.81076442743,7346.23230186871,99.1280132085314,316.780060334352,0,0.923076923076923,0,0.0114455946153909,1,0
"mp-91_Al","Al0-12W","Al","W","Al12W",12.494597710469,0.0292342058333333,1900.74512883301,7332.71861237705,55.5667743330098,214.366205232144,0,0.923076923076923,0,0,1,0
"mp-1055908_Al","Al0-12Mn","Al","Mn","MnAl12",18.2361563377615,0.0397313591666667,2547.69280013419,7592.91608289565,101.223297688462,301.676876011887,0,0.923076923076923,0.145464322068964,0,1,0
"mp-2658_Al","Al0-1Fe","Al","Fe","AlFe",0.771153853817547,0.47172873,970.757015748231,5622.35621797802,457.933974177503,2652.22695831438,0,0.5,0.7613994,0,1,0
"mp-16722_Al","Al1-10.25V","Al","Al10V","Al41V4",0.00271080335235485,-0.0155827233333407,61.3770121933135,176.415130795098,-0.956421000035483,-2.74902817499513,0.909090909090909,0.911111111111111,0.0118096631818174,0.0125860744444442,1,0
"mp-998981_Al","Al1-3Ti","Al","TiAl","TiAl3",0.95629244203306,0.160244985,1248.40361541512,4248.42105969351,200.050418626142,680.788168984271,0.5,0.75,0.141591155,0.0244962150000001,1,0
"mp-8633_K","K0-3Cr","K","Cr","K3Cr",15.8029362579516,-0.748706936999999,474.948127402471,667.5592873001,-355.596957701389,-499.806269260361,0,0.75,0.402526340000001,0.66216178775,1,0
